no_id,gen_id,vial_id,genvial_id,diet_group,lineage,F2_diet,F1_diet,F0_diet,sex,mass_mg,dev_L1-LP,dev_LP-A,dev_L1-A,ovar_no,wing_length
1484,F2,1,F2-1,RSS,R,std,std,rich,f,1.6,5.5,4,9.5,40,2.047
1681,F2,9,F2-9,RRP,R,poor,rich,rich,f,1.8,4.5,4,8.5,42,2.047
1429,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.7,4.5,4,8.5,46,2.047
1608,F2,5,F2-5,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,,2.047
1754,F2,8,F2-8,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,,2.047
1506,F2,3,F2-3,SSS,S,std,std,std,f,1.5,5.5,4,9.5,37,2.048
2046,F2,2,F2-2,PPS,P,std,poor,poor,f,1.4,5.5,5,10.5,,2.048
1894,F2,7,F2-7,PRR,P,rich,rich,poor,f,1.6,4.5,4,8.5,,2.048
1678,F2,9,F2-9,RRP,R,poor,rich,rich,f,1.4,4.5,4,8.5,37,2.049
1510,F2,3,F2-3,SSS,S,std,std,std,f,1.5,5.5,4,9.5,,2.049
1488,F2,2,F2-2,RRS,R,std,rich,rich,f,1.7,5.5,5,10.5,31,2.05
1825,F2,2,F2-2,PRR,P,rich,rich,poor,f,1.6,4.5,4,8.5,38,2.05
1518,F2,2,F2-2,RPR,R,rich,poor,rich,f,1.6,4.5,4,8.5,39,2.05
1406,F2,1,F2-1,RRR,R,rich,rich,rich,f,1.6,4.5,4,8.5,41,2.05
1402,F2,1,F2-1,RRR,R,rich,rich,rich,f,1.9,3.5,4,7.5,,2.05
1762,F2,9,F2-9,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,,2.05
1777,F2,7,F2-7,RPP,R,poor,poor,rich,f,1.4,4.5,4,8.5,34,2.051
1426,F2,3,F2-3,RRR,R,rich,rich,rich,f,1.6,4.5,4,8.5,36,2.052
1491,F2,2,F2-2,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,36,2.052
1882,F2,5,F2-5,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,38,2.052
1698,F2,6,F2-6,RPR,R,rich,poor,rich,f,1.6,3.5,4,7.5,,2.052
1425,F2,4,F2-4,RSR,R,rich,std,rich,f,1.4,3.5,4,7.5,,2.052
1699,F2,6,F2-6,RPR,R,rich,poor,rich,f,1.6,3.5,4,7.5,33,2.053
1935,F2,3,F2-3,PPR,P,rich,poor,poor,f,1.3,4.5,4,8.5,37,2.053
1863,F2,1,F2-1,PPR,P,rich,poor,poor,f,1.5,4.5,4,8.5,,2.053
1643,F2,5,F2-5,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,35,2.054
1780,F2,7,F2-7,RPP,R,poor,poor,rich,f,1.5,4.5,4,8.5,36,2.054
